Open Time;Close;Return;Volume;Number of Trades
17.08.2017;100;0;7825.860717;7949
18.08.2017;95.87615634;-0.041238437;10737.73472;10891
19.08.2017;96.61383218;0.007694049;2527.507493;3948
20.08.2017;95.36088008;-0.012968662;2977.221732;4359
21.08.2017;93.72053731;-0.017201422;5911.18848;7897
22.08.2017;94.2806202;0.005976096;8923.035738;13071
23.08.2017;96.00777582;0.018319307;9666.862255;17169
24.08.2017;100.7218068;0.049100513;7540.690673;12742
25.08.2017;99.89731814;-0.008185801;7699.58236;14006
26.08.2017;101.2219142;0.013259576;5105.793278;6660
27.08.2017;100.5817861;-0.006324007;4986.129735;8643
28.08.2017;102.3712509;0.017791142;4883.023316;8875
29.08.2017;107.0570444;0.045772553;3635.679278;7424
30.08.2017;106.3023327;-0.007049622;5255.064851;10363
31.08.2017;110.2637524;0.037265594;4992.825352;8735
01.09.2017;112.8312657;0.023285198;4759.350706;8124
02.09.2017;104.3653794;-0.075031386;9169.475835;15692
03.09.2017;105.2274403;0.008260028;5944.838308;12175
04.09.2017;95.68339448;-0.090699211;8132.455224;16720
05.09.2017;101.8993811;0.064964111;9573.357397;19083
06.09.2017;107.8105893;0.058010246;6293.673606;15045
07.09.2017;109.4871041;0.015550558;3604.327425;5705
08.09.2017;99.94679213;-0.087136399;6048.011976;7960
09.09.2017;99.3869426;-0.005601476;3399.371172;5733
10.09.2017;96.38956566;-0.030158659;4816.824265;5929
11.09.2017;98.21216873;0.018908718;5529.635535;7718
12.09.2017;97.16784751;-0.010633318;6055.944339;11780
13.09.2017;92.05639101;-0.052604402;7364.690905;9546
14.09.2017;74.42148105;-0.191566384;14266.9783;17232
15.09.2017;86.34611256;0.160231043;16192.76179;19643
16.09.2017;86.69499753;0.004040541;11659.62406;17668
17.09.2017;86.34587919;-0.004026972;5296.70458;11632
18.09.2017;94.16416963;0.090546191;5155.976965;11660
19.09.2017;91.24777134;-0.030971423;2772.240649;9238
20.09.2017;91.01346999;-0.002567749;1781.502416;8662
21.09.2017;84.24556834;-0.074361538;2914.209914;11465
22.09.2017;83.91605291;-0.003911368;2303.478925;10296
23.09.2017;88.21305553;0.051205967;3577.128511;12303
24.09.2017;85.41310781;-0.031740741;6237.18061;16746
25.09.2017;91.49770833;0.071237316;6598.475063;18905
26.09.2017;90.6015757;-0.009794045;5093.656027;15300
27.09.2017;97.85114864;0.08001597;6146.274786;16581
28.09.2017;97.41941807;-0.004412115;7450.694545;21960
29.09.2017;97.42385206;4.55E-05;12691.50859;27932
30.09.2017;102.180356;0.048822787;4740.961133;17492
01.10.2017;102.1796559;-6.85E-06;5787.021265;18716
02.10.2017;102.2151278;0.000347152;4366.594444;15639
03.10.2017;100.5815527;-0.015981735;6629.180583;21706
04.10.2017;98.21496915;-0.023529002;4883.353021;18239
05.10.2017;100.1715254;0.019921161;4191.528798;15283
06.10.2017;101.9584232;0.017838381;4047.552766;12610
07.10.2017;103.2186097;0.012359808;2463.38826;9093
08.10.2017;108.2826925;0.049061723;3479.393984;13827
09.10.2017;111.7120334;0.031670259;5531.841775;19052
10.10.2017;111.6212533;-0.000812626;7792.496453;21359
11.10.2017;112.5166858;0.008022061;4478.115696;9974
12.10.2017;126.7187544;0.126221889;9104.457442;12986
13.10.2017;131.8523808;0.040511971;19805.19347;21561
14.10.2017;136.9867074;0.038939961;8702.723736;11962
15.10.2017;133.2528214;-0.027257287;11354.87046;14274
16.10.2017;134.4203609;0.008761837;10192.46743;15739
17.10.2017;130.5693243;-0.028649206;9576.612936;16592
18.10.2017;128.6337711;-0.01482395;15225.84977;24625
19.10.2017;132.6439646;0.031175277;10560.4695;18322
20.10.2017;140.2543243;0.057374338;10712.29486;18468
21.10.2017;140.6034426;0.002489181;10255.9389;16525
22.10.2017;138.8543504;-0.012439896;8535.161146;14674
23.10.2017;138.0587994;-0.005729393;11471.34176;17260
24.10.2017;127.8162835;-0.074189519;16647.09801;21101
25.10.2017;132.7860857;0.038882387;11985.90582;18822
26.10.2017;136.794879;0.03018986;9785.993052;17986
27.10.2017;134.625958;-0.015855279;7675.854436;14204
28.10.2017;133.4780214;-0.008526859;7125.620302;14145
29.10.2017;143.9875102;0.078735725;10823.91132;17598
30.10.2017;142.8328059;-0.008019475;10419.8073;15448
31.10.2017;150.8256555;0.05595948;9152.186745;20247
01.11.2017;157.6161939;0.045022435;11518.78179;28813
02.11.2017;163.8237793;0.039384185;15927.468;33822
03.11.2017;166.0421742;0.013541349;10085.53224;24348
04.11.2017;171.6908436;0.034019485;9227.609207;22431
05.11.2017;171.4089352;-0.001641954;7846.25352;18603
06.11.2017;162.4364166;-0.052345688;129893.8603;22341
07.11.2017;164.8506497;0.014862635;144988.5683;22771
08.11.2017;170.4215411;0.033793566;366074.4165;40907
09.11.2017;165.2213531;-0.030513678;300101.8978;23358
10.11.2017;151.8628354;-0.080852247;503510.7697;29903
11.11.2017;145.7583152;-0.040197592;272442.6897;27709
12.11.2017;135.6433176;-0.069395682;483251.3563;46513
13.11.2017;150.9213472;0.112633854;184943.6474;26527
14.11.2017;153.4613308;0.01682985;196209.9652;23299
15.11.2017;168.9709092;0.101065059;315015.1072;21974
16.11.2017;183.5293194;0.08615927;214507.3337;25846
17.11.2017;179.6782071;-0.020983635;441471.0014;34932
18.11.2017;181.1494774;0.008188363;190415.6238;29987
19.11.2017;187.5848811;0.035525378;202966.7094;26375
20.11.2017;191.5943657;0.021374242;212243.1437;34007
21.11.2017;189.3677767;-0.01162137;472907.057;38372
22.11.2017;191.3610738;0.010526063;225063.7415;26516
23.11.2017;187.0542651;-0.02250619;224072.0188;31024
24.11.2017;189.7159702;0.014229588;687107.7214;39070
25.11.2017;202.6643053;0.06825116;525364.8589;35434
26.11.2017;212.5595474;0.048825777;229996.0298;35046
27.11.2017;224.6855869;0.057047729;522210.6299;41913
28.11.2017;230.3228371;0.025089505;403589.8941;33838
29.11.2017;225.5433603;-0.020751207;1121457.169;84555
30.11.2017;229.0022615;0.015335859;967536.692;76301
01.12.2017;250.7782914;0.095090894;563350.4286;62912
02.12.2017;253.3509307;0.01025862;405278.8588;55627
03.12.2017;259.6571887;0.024891395;542418.8795;72717
04.12.2017;269.2158447;0.036812599;603286.0761;64994
05.12.2017;272.1062833;0.01073651;616113.76;61413
06.12.2017;314.5822983;0.156100824;594884.2827;76059
07.12.2017;384.860487;0.2234016;755161.6434;100945
08.12.2017;368.1017086;-0.043545074;907053.5862;146715
09.12.2017;340.1470412;-0.075942781;696696.0091;117660
10.12.2017;345.9029309;0.016921769;799862.3956;129412
11.12.2017;384.8028479;0.112459056;601608.2092;113309
12.12.2017;379.0792206;-0.014874181;837080.095;159324
13.12.2017;372.1320364;-0.018326471;1076651.571;168592
14.12.2017;378.019281;0.015820311;1253188.965;161874
15.12.2017;404.6673983;0.070494069;1083615.6;148052
16.12.2017;438.7407227;0.084200814;894249.5021;97906
17.12.2017;432.9531821;-0.013191255;1831103.354;166499
18.12.2017;432.0019749;-0.002197021;1656895.187;171583
19.12.2017;399.562494;-0.075091048;2080223.636;222930
20.12.2017;382.9720288;-0.041521578;1717703.209;233441
21.12.2017;361.0799929;-0.057163538;1267840.647;213140
22.12.2017;314.1458378;-0.129982708;2235527.795;430274
23.12.2017;313.3449767;-0.002549329;1254762.905;263866
24.12.2017;318.0107783;0.014890303;1347396.782;365232
25.12.2017;322.7846724;0.015011737;1690325.872;266705
26.12.2017;366.9037691;0.13668275;3267630;312158
27.12.2017;362.6527567;-0.011586178;3040089.2;308935
28.12.2017;334.6058197;-0.07733827;2847656.367;471624
29.12.2017;338.357834;0.011213237;1623207.951;297823
30.12.2017;295.4058558;-0.126942467;1959668.444;397328
31.12.2017;323.3446939;0.094577807;1517713.354;301270
01.01.2018;316.7669742;-0.020342748;818491.1137;229467
02.01.2018;346.4020601;0.093554847;1659905.312;416064
03.01.2018;352.3838867;0.01726845;1281486.657;372984
04.01.2018;354.4149467;0.005763771;1279237.969;396999
05.01.2018;396.7767009;0.119525868;3087367.494;422248
06.01.2018;398.5622519;0.004500141;3389366.289;374138
07.01.2018;378.4603928;-0.050435933;1716783.301;289279
08.01.2018;350.9552986;-0.072676282;2470296.196;479871
09.01.2018;339.411708;-0.032891911;1660160.972;402915
10.01.2018;348.4996513;0.026775574;1638692.372;451177
11.01.2018;314.117098;-0.098658788;4026737.261;601001
12.01.2018;325.5283563;0.036328039;3143107.128;378846
13.01.2018;335.7725846;0.031469542;1326096.059;325830
14.01.2018;320.7349421;-0.044785201;1803658.134;389905
15.01.2018;323.174765;0.007606976;2812238.44;414238
16.01.2018;264.7140117;-0.180895168;11682173.24;1063043
17.01.2018;266.3674285;0.00624605;12214235.2;1276158
18.01.2018;265.6065517;-0.002856493;7920643.639;940858
