Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2018-05-31,2018-05-31 00:00:00.000000000,1.4,2.15,1.4,1.7547,4301267.29,2018-05-31 23:59:59.999000064,7570015.890308,12392,2500776.42,4406366.305624,0
2018-06-01,2018-06-01 00:00:00.000000000,1.7548,1.9539,1.7128,1.9242,8098705.83,2018-06-01 23:59:59.999000064,14830441.386588,25895,4673083.52,8548594.810412,0
2018-06-02,2018-06-02 00:00:00.000000000,1.9269,1.95,1.8511,1.8962,7415130.79,2018-06-02 23:59:59.999000064,14100271.73667,25574,4281602.57,8148533.521698,0
2018-06-03,2018-06-03 00:00:00.000000000,1.8987,2.0132,1.7242,1.8045,9094727.55,2018-06-03 23:59:59.999000064,17165655.124292,29190,5490409.02,10385751.200982,0
2018-06-04,2018-06-04 00:00:00.000000000,1.8093,1.85,1.658,1.7157,8496128.41,2018-06-04 23:59:59.999000064,14861777.393053,25857,4826549.51,8449292.20639,0
2018-06-05,2018-06-05 00:00:00.000000000,1.7159,1.7849,1.6561,1.7433,7524463.44,2018-06-05 23:59:59.999000064,12945519.011021,20418,4381136.68,7532739.591523,0
2018-06-06,2018-06-06 00:00:00.000000000,1.7434,1.7678,1.64,1.6959,6711330.81,2018-06-06 23:59:59.999000064,11477821.80686,17719,4019571.68,6885625.179616,0
2018-06-07,2018-06-07 00:00:00.000000000,1.6954,1.7436,1.68,1.6923,5902671.78,2018-06-07 23:59:59.999000064,10101254.879571,13573,3563856.42,6102487.3934,0
2018-06-08,2018-06-08 00:00:00.000000000,1.6927,1.7382,1.6605,1.7037,6337504.93,2018-06-08 23:59:59.999000064,10731357.193167,13125,3996355.7,6772418.756694,0
2018-06-09,2018-06-09 00:00:00.000000000,1.7032,1.7454,1.64,1.6481,6754595.62,2018-06-09 23:59:59.999000064,11465311.319335,13652,3932612.88,6684312.033353,0
2018-06-10,2018-06-10 00:00:00.000000000,1.648,1.6512,1.3181,1.3749,8610162.2,2018-06-10 23:59:59.999000064,12752257.91694,26292,4337728.08,6429544.453471,0
2018-06-11,2018-06-11 00:00:00.000000000,1.3769,1.471,1.3113,1.4597,6729264.18,2018-06-11 23:59:59.999000064,9272468.864265,17031,3636453.73,5011634.178628,0
2018-06-12,2018-06-12 00:00:00.000000000,1.4567,1.46,1.23,1.2583,7824729.7,2018-06-12 23:59:59.999000064,10564332.393593,19475,4237227.54,5734345.785204,0
2018-06-13,2018-06-13 00:00:00.000000000,1.2595,1.295,1.1292,1.2055,8613960.82,2018-06-13 23:59:59.999000064,10491328.152829,20159,4770974.36,5811551.576418,0
2018-06-14,2018-06-14 00:00:00.000000000,1.2056,1.371,1.171,1.2732,9138651.45,2018-06-14 23:59:59.999000064,11520638.331158,21611,5334361.43,6733991.54901,0
2018-06-15,2018-06-15 00:00:00.000000000,1.2772,1.3,1.161,1.1781,7980199.93,2018-06-15 23:59:59.999000064,9882970.372543,17062,4261507.44,5283138.135113,0
2018-06-16,2018-06-16 00:00:00.000000000,1.1796,1.23,1.1555,1.1943,7146126.21,2018-06-16 23:59:59.999000064,8520555.11957,14812,4191589.92,5001496.593282,0
2018-06-17,2018-06-17 00:00:00.000000000,1.1943,1.217,1.1691,1.1716,7879816.07,2018-06-17 23:59:59.999000064,9374358.466735,13485,4531560.73,5391846.098883,0
2018-06-18,2018-06-18 00:00:00.000000000,1.1744,1.229,1.1,1.1801,10289294.88,2018-06-18 23:59:59.999000064,11935801.569018,21153,5679316.43,6590133.500444,0
2018-06-19,2018-06-19 00:00:00.000000000,1.1818,1.265,1.16,1.1818,8079945.91,2018-06-19 23:59:59.999000064,9609090.616409,16082,4505262.05,5355105.812737,0
2018-06-20,2018-06-20 00:00:00.000000000,1.1804,1.1841,1.1116,1.1598,8943103.51,2018-06-20 23:59:59.999000064,10272281.846462,17449,4961817.39,5704444.112761,0
2018-06-21,2018-06-21 00:00:00.000000000,1.1598,1.18,1.1389,1.1584,7936682.77,2018-06-21 23:59:59.999000064,9198785.916661,12917,4440139.77,5148490.566924,0
2018-06-22,2018-06-22 00:00:00.000000000,1.1584,1.171,0.9304,0.9726,12212505.96,2018-06-22 23:59:59.999000064,12689985.936484,24581,6776933.4,7078949.354011,0
2018-06-23,2018-06-23 00:00:00.000000000,0.9726,1.0739,0.9545,1.0366,9021374.99,2018-06-23 23:59:59.999000064,9122574.527516,17093,5464499.67,5525105.444143,0
2018-06-24,2018-06-24 00:00:00.000000000,1.0377,1.0429,0.881,0.9732,11407204.97,2018-06-24 23:59:59.999000064,10946961.979146,21234,6235299.97,5979960.82483,0
2018-06-25,2018-06-25 00:00:00.000000000,0.9732,1.0501,0.9522,1.0147,9687936.06,2018-06-25 23:59:59.999000064,9722168.685817,16338,5784101.31,5801313.328251,0
2018-06-26,2018-06-26 00:00:00.000000000,1.0177,1.0241,0.9278,0.9353,5509745.31,2018-06-26 23:59:59.999000064,5393420.388089,8904,3013327.74,2954552.711228,0
2018-06-27,2018-06-27 00:00:00.000000000,0.936,1.02,0.923,0.9825,7892995.5,2018-06-27 23:59:59.999000064,7556631.967944,10630,4333917.2,4153365.354728,0
2018-06-28,2018-06-28 00:00:00.000000000,0.9824,1.0,0.902,0.916,8813758.06,2018-06-28 23:59:59.999000064,8477650.793435,11548,5088407.17,4904831.769721,0
2018-06-29,2018-06-29 00:00:00.000000000,0.9149,0.9844,0.8924,0.9589,8869914.43,2018-06-29 23:59:59.999000064,8178875.076604,13625,5087588.73,4692737.598561,0
2018-06-30,2018-06-30 00:00:00.000000000,0.9607,1.03,0.9599,1.0109,8707918.68,2018-06-30 23:59:59.999000064,8685823.437771,12861,5279246.34,5268999.129813,0
2018-07-01,2018-07-01 00:00:00.000000000,1.0129,1.0825,0.986,1.0675,8895665.9,2018-07-01 23:59:59.999000064,9179467.318722,13559,5337132.6,5510213.658633,0
2018-07-02,2018-07-02 00:00:00.000000000,1.0674,1.192,1.03,1.1648,9682295.03,2018-07-02 23:59:59.999000064,10749338.566988,18148,5741587.48,6381114.441583,0
2018-07-03,2018-07-03 00:00:00.000000000,1.1635,1.23,1.1176,1.1376,9785015.57,2018-07-03 23:59:59.999000064,11457784.941318,17913,5651177.24,6620282.888714,0
2018-07-04,2018-07-04 00:00:00.000000000,1.1401,1.2615,1.1204,1.207,6634688.85,2018-07-04 23:59:59.999000064,8016986.869253,11838,3657397.29,4423359.483138,0
2018-07-05,2018-07-05 00:00:00.000000000,1.207,1.2201,1.107,1.1539,8010513.6,2018-07-05 23:59:59.999000064,9347385.393916,15559,4144708.47,4842663.956734,0
2018-07-06,2018-07-06 00:00:00.000000000,1.1543,1.1581,1.0356,1.0601,8517621.18,2018-07-06 23:59:59.999000064,9212675.101817,16483,4662210.82,5054085.134532,0
2018-07-07,2018-07-07 00:00:00.000000000,1.059,1.1133,1.0266,1.109,7956848.31,2018-07-07 23:59:59.999000064,8424684.074124,13145,4604445.25,4877345.117102,0
2018-07-08,2018-07-08 00:00:00.000000000,1.1063,1.136,1.064,1.0779,7443843.19,2018-07-08 23:59:59.999000064,8233524.444774,12798,4520202.26,4999452.002416,0
2018-07-09,2018-07-09 00:00:00.000000000,1.0801,1.0947,1.0321,1.0416,6210890.34,2018-07-09 23:59:59.999000064,6648012.559133,10215,3612269.23,3869157.831761,0
2018-07-10,2018-07-10 00:00:00.000000000,1.0416,1.0429,0.95,0.9553,7495069.64,2018-07-10 23:59:59.999000064,7405573.346675,13521,4083992.95,4038447.755688,0
2018-07-11,2018-07-11 00:00:00.000000000,0.9554,1.008,0.9432,1.0025,6033966.32,2018-07-11 23:59:59.999000064,5896900.934798,10099,3612172.47,3530677.878755,0
2018-07-12,2018-07-12 00:00:00.000000000,1.0026,1.0056,0.929,0.9664,6033933.44,2018-07-12 23:59:59.999000064,5785555.523448,9672,3287936.03,3156044.166731,0
2018-07-13,2018-07-13 00:00:00.000000000,0.9654,0.9968,0.953,0.9614,6145846.3,2018-07-13 23:59:59.999000064,6002279.966188,9637,3646633.61,3564837.685513,0
2018-07-14,2018-07-14 00:00:00.000000000,0.9594,1.0249,0.9497,0.972,5701280.31,2018-07-14 23:59:59.999000064,5518404.571088,8674,3699486.49,3582066.294338,0
2018-07-15,2018-07-15 00:00:00.000000000,0.9694,1.043,0.9665,0.9981,6532624.37,2018-07-15 23:59:59.999000064,6475133.355934,9413,3610757.08,3584413.969095,0
2018-07-16,2018-07-16 00:00:00.000000000,0.9989,1.1249,0.981,1.0943,7871767.96,2018-07-16 23:59:59.999000064,8266891.217986,16595,4583979.74,4807055.859848,0
2018-07-17,2018-07-17 00:00:00.000000000,1.0931,1.183,1.0507,1.1269,10028033.42,2018-07-17 23:59:59.999000064,11073859.712041,20522,5466217.83,6037132.105485,0
2018-07-18,2018-07-18 00:00:00.000000000,1.127,1.1723,1.061,1.087,11003715.66,2018-07-18 23:59:59.999000064,12374526.716274,23654,5268256.17,5930354.978485,0
2018-07-19,2018-07-19 00:00:00.000000000,1.087,1.0951,1.0301,1.0425,6642215.12,2018-07-19 23:59:59.999000064,7063243.240214,14054,3470406.21,3695070.890029,0
2018-07-20,2018-07-20 00:00:00.000000000,1.0415,1.045,0.945,0.9619,7476852.79,2018-07-20 23:59:59.999000064,7463259.242822,15129,3614577.77,3609416.014853,0
2018-07-21,2018-07-21 00:00:00.000000000,0.9619,1.0227,0.9428,0.9974,5295659.73,2018-07-21 23:59:59.999000064,5251964.451744,10485,2819903.39,2800353.883172,0
